0x1000 0x10cb 0xcb
0x10cb 0x10f5 0x2a
0x10f5 0x10fb 0x6
0x1100 0x112d 0x2d
0x1190 0x11bb 0x2b
0x11c0 0x1252 0x92
0x1260 0x12f2 0x92
0x1300 0x1392 0x92
0x13a0 0x1432 0x92
0x1440 0x14d2 0x92
0x14e0 0x1572 0x92
0x1580 0x15af 0x2f
0x15b0 0x15df 0x2f
0x15e0 0x160f 0x2f
0x1610 0x163f 0x2f
0x1640 0x166f 0x2f
0x1670 0x1752 0xe2
0x1760 0x1842 0xe2
0x1850 0x187f 0x2f
0x18c0 0x18ef 0x2f
0x18f0 0x191f 0x2f
0x1920 0x194b 0x2b
0x1950 0x197f 0x2f
0x19c0 0x19eb 0x2b
0x19f0 0x1a1f 0x2f
0x1a20 0x1a4f 0x2f
0x1a50 0x1a7f 0x2f
0x1a80 0x1aaf 0x2f
0x1ab0 0x1adf 0x2f
0x1ae0 0x1b0f 0x2f
0x1b50 0x1b7f 0x2f
0x1b80 0x1baf 0x2f
0x1bb0 0x1c42 0x92
0x1c50 0x1c7e 0x2e
0x1c80 0x1cae 0x2e
0x1cb0 0x1d4e 0x9e
0x1d50 0x1d7e 0x2e
0x1d80 0x1dab 0x2b
0x1db0 0x1e42 0x92
0x1e50 0x1e7f 0x2f
0x1e80 0x1eaf 0x2f
0x1eb0 0x1edf 0x2f
0x1ee0 0x1f0f 0x2f
0x1f10 0x1f3f 0x2f
0x1f70 0x1f9f 0x2f
0x1fe0 0x200f 0x2f
0x2060 0x20d8 0x78
0x20e0 0x2177 0x97
0x2180 0x21ab 0x2b
0x21b0 0x21df 0x2f
0x21e0 0x220f 0x2f
0x2210 0x223f 0x2f
0x2240 0x226f 0x2f
0x2270 0x229f 0x2f
0x22a0 0x22cf 0x2f
0x2310 0x233f 0x2f
0x2340 0x236f 0x2f
0x2370 0x246d 0xfd
0x2470 0x24c0 0x50
0x24c0 0x24f6 0x36
0x2500 0x2536 0x36
0x2550 0x2632 0xe2
0x2640 0x27ed 0x1ad
0x2800 0x2836 0x36
0x2840 0x2922 0xe2
0x2930 0x2950 0x20
0x2960 0x2997 0x37
0x29a0 0x2a82 0xe2
0x2a90 0x2ad5 0x45
0x2b00 0x2b3e 0x3e
0x2ba0 0x2bce 0x2e
0x2bd0 0x2bfe 0x2e
0x2c00 0x2c20 0x20
0x2c80 0x2cab 0x2b
0x2cc0 0x2cef 0x2f
0x2d50 0x2d7b 0x2b
0x2d80 0x2daf 0x2f
0x2db0 0x2ddf 0x2f
0x2de0 0x2e0f 0x2f
0x2e10 0x2e3f 0x2f
0x2e40 0x2e6f 0x2f
0x2e70 0x2e9f 0x2f
0x2ee0 0x2f32 0x52
0x2f40 0x2f6f 0x2f
0x2f70 0x2f9f 0x2f
0x2fc0 0x2ff6 0x36
0x3010 0x303e 0x2e
0x3040 0x3060 0x20
0x3070 0x309b 0x2b
0x30a0 0x30cf 0x2f
0x30d0 0x30ff 0x2f
0x3100 0x312f 0x2f
0x3130 0x315f 0x2f
0x3160 0x318f 0x2f
0x3190 0x31bf 0x2f
0x3200 0x322f 0x2f
0x3230 0x325f 0x2f
0x3260 0x3280 0x20
0x3280 0x32a0 0x20
0x32a0 0x32c0 0x20
0x32c0 0x32ee 0x2e
0x32f0 0x331b 0x2b
0x3320 0x334f 0x2f
0x3350 0x337f 0x2f
0x3380 0x33af 0x2f
0x33b0 0x33df 0x2f
0x33e0 0x340f 0x2f
0x3410 0x343f 0x2f
0x3480 0x34af 0x2f
0x34b0 0x34df 0x2f
0x34e0 0x350b 0x2b
0x3510 0x353f 0x2f
0x3540 0x356f 0x2f
0x3570 0x359f 0x2f
0x35a0 0x35cf 0x2f
0x35d0 0x35ff 0x2f
0x3600 0x362c 0x2c
0x3630 0x3680 0x50
0x3680 0x36c2 0x42
0x36d0 0x370a 0x3a
0x3710 0x373f 0x2f
0x3780 0x37af 0x2f
0x37b0 0x37df 0x2f
0x37f0 0x381b 0x2b
0x3820 0x384f 0x2f
0x3850 0x387f 0x2f
0x3880 0x38af 0x2f
0x38b0 0x38df 0x2f
0x38e0 0x390f 0x2f
